	word	gloss1	more_similar	gloss2a	gloss2b
29	share	To have as one's own.		to have the same opinion or feeling as someone else	to use or to have something at the same time as someone else
30	operate	To execute ; to carry out ; to execute.		if someone operates in a particular way, that is how they achieve what they want to do	if equipment operates, it works and does what it is intended to do
31	contain	To have as a part.		to include something, or to have it as a part	a container, envelope, room etc that contains something has something inside it
32	enter	To get into ; to become a member of.		to go or come into a place	to start to take part in a particular activity or to work in a particular job
33	change	To alter ( someone's mind or feelings ).		to replace something with a new or different thing	to become different, or to make someone or something different
34	face	To face ( something unpleasant ) head on.		to accept that a bad situation exists and try to deal with it	to be opposite someone or something so that your face or front is towards them
35	acknowledge	To accept ( a writ, etc. ) as genuine.		to let someone know that you have received something they sent you	to show that you have seen someone or that you recognize them, for example by smiling or speaking to them
36	admit	to acknowledge		to allow someone to enter a place, especially a public place such as a theatre or museum	to agree that something is true, especially when you are unhappy, sorry, or surprised about it
37	apply	To apply ; to put into practice ; to apply.		to put a layer of something such as paint onto a surface	to use a particular method, process, law etc
38	operate	To be in business ; to have an office.		if someone operates in a particular way, that is how they achieve what they want to do	if equipment operates, it works and does what it is intended to do
39	play	To have a game ; to exert oneself.		if children play or play something, they do things that they enjoy, for example using toys and taking part in games	if children play or play something, they do things that they enjoy, for example using toys and taking part in games
40	change	To make or become different.		to replace something with a new or different thing	to become different, or to make someone or something different
41	face	To be faced with ( something ).		to accept that a bad situation exists and try to deal with it	to be opposite someone or something so that your face or front is towards them
42	bother	To be bothered ( by something ).		if you do not bother to do something, you do not do it, either because there seems to be no good reason or because it involves too much effort	if you do not bother to do something, you do not do it, either because there seems to be no good reason or because it involves too much effort
43	save	To refrain from using, especially in wartime.		to collect a set of things and keep them for a particular purpose	to keep something for someone by making sure that other people do not take it
44	ask	To request.		to say that you want something to happen, or that you want someone else to do something	to speak or write to someone in order to get information from them
45	apply	To apply ( a rule, procedure, etc. ).		to use a particular method, process, law etc	to put a layer of something such as paint onto a surface
46	change	To change ( something ) from one state, form, or condition to another.		to replace something with a new or different thing	to become different, or to make someone or something different
47	bear	To tolerate ( something ).		if you cannot bear something, you cannot accept or do it because it makes you very unhappy	to carry or take someone or something somewhere
48	bear	To tolerate ( something unpleasant ).		if you cannot bear something, you cannot accept or do it because it makes you very unhappy	to carry or take someone or something somewhere
49	reach	To arrive at ( a place ) by effort of any kind.		to manage to touch something or pick it up by stretching out your hand, arm, leg etc	to arrive somewhere
50	ask	To ask ( about ).		to speak or write to someone in order to get information from them	to speak or write to someone in order to get information from them
51	suggest	To point out ; to mention.		to say that something is likely to exist or to be true	to make you think that something is likely to exist or to be true
52	fail	To be unable ; to not succeed.		to be unsuccessful in achieving a satisfactory level or standard	to be unsuccessful when you try to do something
53	impose	to restrain by authority		to introduce something such as a new law or new system, and force people to accept it	to cause extra work for someone by asking them to do something that may not be convenient for them
54	open	To make ( something ) available.		if a new business, building etc opens, or if someone opens it, it becomes available for people to use for the first time	to move a door or window into a position that allows people or things to pass through
55	lead	To be in charge of ( a group, organization etc. ).		to walk, drive, fly, sail etc in front of a group of people, vehicles, planes, ships etc	to be in control of an organization, group of people, or activity
56	suggest	To suggest ( something ) as being suitable or desirable.		to say that something is likely to exist or to be true	to remind you of something
57	manage	To be in charge of ( a business, project, etc. ).		to deal successfully with a problem or difficult situation	to be able to live with only a limited amount of money
58	answer	To respond to ( a question, accusation, etc. ).		to give a spoken reply to a question	to give a spoken reply to a question
59	help	To be of use to ; to be useful to.		to make a situation better	to give someone support or information so that they can do something more easily
60	manage	be responsible for or supply ( food or drink )		to deal successfully with a person or animal whose behaviour is difficult	to succeed in eating or drinking something
61	reach	To arrive at ( a place ) by effort of any kind.		to manage to touch something or pick it up by stretching out your hand, arm, leg etc	to get as high as a particular level or amount
62	manage	To manage or manage something.		to deal successfully with a problem or difficult situation	to be able to live with only a limited amount of money
63	admit	To admit to being true or to be the case.		to allow someone to enter a place, especially a public place such as a theatre or museum	to agree that something is true, especially when you are unhappy, sorry, or surprised about it
64	manage	to do something successfully		to succeed in doing something, especially something that needs a lot of effort or skill	to deal successfully with a person or animal whose behaviour is difficult
65	help	To be of use or benefit ; to be useful.		to give someone support or information so that they can do something more easily	to make a situation better
66	need	To be in need of ; to require ( something ).		used for emphasizing that something should be done	if you need something, you must have it because it is necessary
67	admit	To grant entry to.		to allow someone to enter a place, especially a public place such as a theatre or museum	to allow someone to become a member of an organization
68	ask	To say in an urgent or questioning manner.		to speak or write to someone in order to get information from them	to speak or write to someone in order to get information from them
69	ask	To ask questions of.		to speak or write to someone in order to get information from them	to speak or write to someone in order to get information from them
70	join	To become a member of.		to become a member of an organization, club etc	if you join a road, train, boat etc, you start to travel on it
71	lead	To cause ; to give rise to.		to walk, drive, fly, sail etc in front of a group of people, vehicles, planes, ships etc	to cause someone to do something
72	share	To have in common.		to use or to have something at the same time as someone else	to use or to have something at the same time as someone else
73	face	To encounter ( something ).		to be opposite someone or something so that your face or front is towards them	if you face a problem, or if it faces you, it is likely or certain to happen and you have to deal with it
74	ask	to request earnestly		to speak or write to someone because you want them to give you something	to speak or write to someone in order to get information from them
75	ask	say to ( an advertisement )		to speak or write to someone in order to get information from them	to speak or write to someone in order to get information from them
76	control	To keep under control ; to restrain ; to keep within limits.		to make a machine, system, vehicle etc move or operate in the way that you want it to	to have the power to make decisions and decide what will happen to something
77	try	To try.		to attempt to do something	to attempt to do something
78	control	To manage or manage ; to have in one's control.		to make a machine, system, vehicle etc move or operate in the way that you want it to	to make a machine, system, vehicle etc move or operate in the way that you want it to
79	open	To begin to operate or be operating ; to begin to function.		if a new business, building etc opens, or if someone opens it, it becomes available for people to use for the first time	to move a door or window into a position that allows people or things to pass through
80	operate	To be in operation.		if something such as a rule, idea, or fact operates, it exists and has an effect in a particular situation	if equipment operates, it works and does what it is intended to do
81	share	To be called by ( a given name ).		to use or to have something at the same time as someone else	to use or to have something at the same time as someone else
82	respond	To respond in kind or manner.		to reply, especially in writing	to react to something by taking a particular course of action
83	share	To have as one's own.		to use or to have something at the same time as someone else	to use or to have something at the same time as someone else
84	remind	To remind.		to tell someone again about an event from the past or about a fact that they used to know	to tell someone again about an event from the past or about a fact that they used to know
85	change	cause to change one's mind		to become different, or to make someone or something different	to replace something with a new or different thing
86	open	To remove an obstruction from ( a horse ).		to move a door or window into a position that allows people or things to pass through	if a new business, building etc opens, or if someone opens it, it becomes available for people to use for the first time
87	introduce	To bring ( something ) into practice.		to tell someone another person’s name when they meet for the first time	to bring something into existence or use for the first time
88	address	To make an effort to deal with something.		to try to deal with a problem or question, for example by thinking carefully about it, or by doing things to improve a situation	to speak directly to someone who is with you
89	introduce	To bring ( animals ) into an environment for the first time.		to bring something such as a plant or animal into a country or environment for the first time	to tell someone another person’s name when they meet for the first time
90	feed	supply ( someone ) with information, ideas, etc.		to give food to a person or an animal	to provide a supply of something for a person or a machine
91	admit	To admit ( something ) to be true ; to concede or concur.		to agree that something is true, especially when you are unhappy, sorry, or surprised about it	to allow someone to enter a place, especially a public place such as a theatre or museum
92	control	to exercise control over		to have the power to make decisions and decide what will happen to something	to make a machine, system, vehicle etc move or operate in the way that you want it to
93	share	To have a portion of ; to have something in common.		to have the same opinion or feeling as someone else	to use or to have something at the same time as someone else
94	illustrate	To provide an illustration of.		to show what something is like, or to show that something is true	to draw the pictures in a book, or to put pictures in a book
95	answer	To answer ( a question, accusation etc. ).		to give a spoken reply to a question	to give a spoken reply to a question
96	manage	To control or manage.		to organize and control the work of a company, organization, or group of people	to deal successfully with a person or animal whose behaviour is difficult
97	hear	To listen to ( a request, etc. ).		to listen to someone who is speaking about a particular thing	if a court case is heard, it is dealt with by a court or judge
98	address	To converse to ; to make a speech to.		to speak publicly to a group of people	to speak publicly to a group of people
99	admit	to admit to being		to allow someone to enter a place, especially a public place such as a theatre or museum	to agree that something is true, especially when you are unhappy, sorry, or surprised about it
100	face	To encounter ( a problem, situation, etc. ).		to accept that a bad situation exists and try to deal with it	to be opposite someone or something so that your face or front is towards them
101	refer	To refer to.		to mention someone or something when you are speaking or writing	to look at a book, map etc for information
102	offer	To make available for sale.		to let someone know that you will give them something if they want it	to provide something such as a product or service
103	offer	To present ( an opportunity ).		to give someone something that you think they need or deserve	to let someone know that you will give them something if they want it
104	try	To behave as expected when trying to do something.		to attempt to do something	to attempt to do something
105	open	To make available ; to make available.		to move a door or window into a position that allows people or things to pass through	if a new business, building etc opens, or if someone opens it, it becomes available for people to use for the first time
106	manage	be able to deal with something		to be able to live with only a limited amount of money	to deal successfully with a problem or difficult situation
107	suggest	To point out ; to show ; to manifest.		to make you think that something is likely to exist or to be true	to say that something is likely to exist or to be true
108	lead	To lead ( someone ) in the desired direction.		to walk, drive, fly, sail etc in front of a group of people, vehicles, planes, ships etc	to walk, drive, fly, sail etc in front of a group of people, vehicles, planes, ships etc
109	lead	To cause ( something ) to happen.		to cause someone to do something	to walk, drive, fly, sail etc in front of a group of people, vehicles, planes, ships etc
110	open	To make something open.		if a new business, building etc opens, or if someone opens it, it becomes available for people to use for the first time	to move a door or window into a position that allows people or things to pass through
111	win	To gain, usually undeservedly ; to gain as a result of one's efforts.		to succeed in getting something that you want because of hard work or ability	to get something as a prize for defeating other people or because you are lucky
112	bear	To tolerate ( something unpleasant ).		to carry or take someone or something somewhere	if you cannot bear something, you cannot accept or do it because it makes you very unhappy
113	save	To prevent ( somebody ) from having to do something.		to make it possible for someone to avoid doing something	to make it possible for someone or something to avoid danger, harm, injury etc
114	contain	To contain, to hold within.		a container, envelope, room etc that contains something has something inside it	a container, envelope, room etc that contains something has something inside it
115	open	To begin to operate.		to move a door or window into a position that allows people or things to pass through	if a new business, building etc opens, or if someone opens it, it becomes available for people to use for the first time
116	struggle	To strive, to labour in difficulty, to fight.		to use your strength to fight against someone or something	to try hard to do something that you find very difficult
117	reach	To arrive at.		to achieve something after discussing it or thinking about it for a long time	to manage to touch something or pick it up by stretching out your hand, arm, leg etc
118	contain	To contain, as a document or a statement.		to include something, or to have it as a part	a container, envelope, room etc that contains something has something inside it
119	evolve	To change gradually from one form or medium to another.		when a type of plant or animal evolves, its physical form changes over a long period of time	to gradually change and develop over a period of time
120	reach	To arrive at by effort of any kind.		to arrive somewhere	to manage to touch something or pick it up by stretching out your hand, arm, leg etc
121	save	To prevent ( somebody ) from doing something.		to make it possible for someone or something to avoid danger, harm, injury etc	to make it possible for someone to avoid doing something
122	play	To move in a manner reminiscent of a game of billiards.		if something such as light plays somewhere, it moves quickly over a surface, appearing in different places for a very short time	if children play or play something, they do things that they enjoy, for example using toys and taking part in games
123	join	To come into the company of.		if you join a road, train, boat etc, you start to travel on it	to come together with other people or things
124	feed	To feed off ( a feeling or impulse ).		to make a feeling stronger	to give food to a person or an animal
125	join	To become a member of.		to become involved in an activity	if you join a road, train, boat etc, you start to travel on it
126	face	To disagree ( with ).		to be opposite someone or something so that your face or front is towards them	if you face a problem, or if it faces you, it is likely or certain to happen and you have to deal with it
127	join	To become a member of.		if you join a road, train, boat etc, you start to travel on it	to become a member of an organization, club etc
128	manage	To manage ( to do something ).		to deal successfully with a person or animal whose behaviour is difficult	to succeed in doing something, especially something that needs a lot of effort or skill
129	manage	To succeed in doing something ; to manage.		to deal successfully with a person or animal whose behaviour is difficult	to succeed in doing something, especially something that needs a lot of effort or skill
130	win	To win ( a competition or battle ).		to get something as a prize for defeating other people or because you are lucky	to get something as a prize for defeating other people or because you are lucky
131	suggest	To provide evidence for ; to suggest.		to say that something is likely to exist or to be true	to make you think that something is likely to exist or to be true
132	operate	To have an operation ; to be operative.		if equipment operates, it works and does what it is intended to do	if equipment operates, it works and does what it is intended to do
133	extend	To extend in scope, extent, or range.		to continue for a particular distance or in a particular direction	to continue for a particular distance or in a particular direction
134	refer	To refer to ; to have as a reference.		to describe something, or to be about something	to mention someone or something when you are speaking or writing
135	fail	To do something that is not the case ; to fail.		to not do something that people expect you to do	to be unsuccessful in achieving a satisfactory level or standard
136	illustrate	To supply with an illustration.		to draw the pictures in a book, or to put pictures in a book	to show something by using pictures, diagrams, lists of numbers etc
137	introduce	To cause ( someone ) to be acquainted with ( something ).		to tell someone another person’s name when they meet for the first time	to tell someone another person’s name when they meet for the first time
138	extend	To extend in time, to last.		to continue for a particular distance or in a particular direction	to continue for a particular distance or in a particular direction
139	apply	to apply to		to use a particular method, process, law etc	to put a layer of something such as paint onto a surface
140	address	To address ( someone or something ) formally or formally.		to try to deal with a problem or question, for example by thinking carefully about it, or by doing things to improve a situation	to speak directly to someone who is with you
141	introduce	To make someone aware of ( something ) for the first time.		to provide someone with a new experience, activity, or opportunity to learn something	to tell someone another person’s name when they meet for the first time
142	reach	To extend to ; to stretch out as far as ; to touch by virtue of extent.		to get as high as a particular level or amount	to manage to touch something or pick it up by stretching out your hand, arm, leg etc
143	reach	To arrive at ( a decision ) by effort of any kind.		to achieve something after discussing it or thinking about it for a long time	to manage to touch something or pick it up by stretching out your hand, arm, leg etc
144	explain	To make something plain to ( someone ) ; to make plain ; to manifest.		to tell someone something in a way that helps them understand it better	to tell someone something in a way that helps them understand it better
145	try	To try.		to attempt to do something	to attempt to do something
146	change	To alter ( one's mind or attitude ).		to become different, or to make someone or something different	to replace something with a new or different thing
147	change	To become different.		to take off the clothes or a piece of clothing you are wearing and put on different ones	to become different, or to make someone or something different
148	admit	To acknowledge to be true ; to admit to being true.		to agree that something is true, especially when you are unhappy, sorry, or surprised about it	to allow someone to enter a place, especially a public place such as a theatre or museum
149	impose	to place a burden or duty on		to cause extra work for someone by asking them to do something that may not be convenient for them	to cause extra work for someone by asking them to do something that may not be convenient for them
150	try	exert oneself hard or vigorously		to attempt to do something	to attempt to do something
151	begin	To start, to take the first step into.		to start doing something	to start doing something
152	try	To try.		to attempt to do something	to attempt to do something
153	refer	have reference to		to describe something, or to be about something	to mention someone or something when you are speaking or writing
154	open	To make ( something ) available for use.		to move a door or window into a position that allows people or things to pass through	if a new business, building etc opens, or if someone opens it, it becomes available for people to use for the first time
155	save	To prevent ( a penalty kick ) from scoring.		if a goalkeeper saves a ball in a sport such as football, they prevent the ball from going into the net	to make it possible for someone or something to avoid danger, harm, injury etc
156	admit	To grant admittance to ; to permit to enter.		to allow someone to enter a place, especially a public place such as a theatre or museum	to take someone into hospital for medical treatment
157	manage	To manage or manage, be in charge of.		to organize and control an available supply of something such as time or money	to deal successfully with a person or animal whose behaviour is difficult
158	control	To hold in restraint.		to make people behave in the way that you want them to behave	to make people behave in the way that you want them to behave
159	explain	To make something plain to the mind ; to clear ( something ).		to tell someone something in a way that helps them understand it better	to tell someone something in a way that helps them understand it better
160	join	To become a member of ( a body, organization, etc. ).		to become a member of an organization, club etc	if you join a road, train, boat etc, you start to travel on it
161	share	To have as a share.		to give a part of something to someone else	to give a part of something to someone else
162	help	To comprehend, to comprehend.		to make a situation better	to give someone support or information so that they can do something more easily
163	reach	To arrive at a particular destination.		to arrive somewhere	to manage to touch something or pick it up by stretching out your hand, arm, leg etc
164	change	To change ( something ) from one configuration or state to another.		to become different, or to make someone or something different	to replace something with a new or different thing
165	suggest	To suggest ( something ) ; to imply.		to tell someone about something that may be useful or suitable for a particular purpose	to offer an idea or a plan for someone to consider
166	escape	To avoid ( something unpleasant ).		to get away from a place where you are in danger	to avoid thinking about or dealing with an unpleasant situation that you are in
167	save	To give something back to ( someone ).		to collect a set of things and keep them for a particular purpose	to keep something for someone by making sure that other people do not take it
168	join	To come together ; to unite.		if you join a road, train, boat etc, you start to travel on it	to come together with other people or things
169	manage	To deal with ( a situation or problem ).		to succeed in doing something, especially something that needs a lot of effort or skill	to deal successfully with a person or animal whose behaviour is difficult
170	refer	To refer to, to have reference to.		to mention someone or something when you are speaking or writing	to look at a book, map etc for information
171	suggest	To suggest ; to imply.		to make you think that something is likely to exist or to be true	to say that something is likely to exist or to be true
172	share	To share ( something ) with others.		to use or to have something at the same time as someone else	to tell someone something
173	suggest	To state, affirm, or claim as true ; to imply.		to say that something is likely to exist or to be true	to say that something is likely to exist or to be true
174	win	To win ; to gain favor with.		to succeed in getting something that you want because of hard work or ability	to get something as a prize for defeating other people or because you are lucky
175	extend	To extend in scope.		to increase the size of a building or area, especially by adding extra parts onto it	to increase the size of a building or area, especially by adding extra parts onto it
176	refer	To refer to, to use as a name.		to mention someone or something when you are speaking or writing	to look at a book, map etc for information
177	address	To deal with ( a problem or difficulty ).		to try to deal with a problem or question, for example by thinking carefully about it, or by doing things to improve a situation	to speak directly to someone who is with you
178	help	To be useful or helpful.		to give someone support or information so that they can do something more easily	to make a situation better
179	change	To change ( something ) from one form, style, etc. to another.		to take off the clothes or a piece of clothing you are wearing and put on different ones	to become different, or to make someone or something different
180	evolve	To undergo change.		when a type of plant or animal evolves, its physical form changes over a long period of time	to gradually change and develop over a period of time
181	expect	To predict or believe that something will happen		to think that something will happen	to be waiting for someone or something to arrive
182	save	To free ( someone or something ) from something harmful.		to make it possible for someone or something to avoid danger, harm, injury etc	to make it possible for someone or something to avoid danger, harm, injury etc
183	help	To be of use to.		to give someone support or information so that they can do something more easily	to make a situation better
