	word	gloss1	more_similar	gloss2a	gloss2b
28	introduce	to make known		to bring something into existence or use for the first time	to tell someone another person’s name when they meet for the first time
29	share	To be in agreement with ; to be in agreement with ; to be in agreement with.		to use or to have something at the same time as someone else	to have the same opinion or feeling as someone else
30	operate	To perform a specified function.		if equipment operates, it works and does what it is intended to do	if someone operates in a particular way, that is how they achieve what they want to do
31	contain	To have as a constituent ; to have as a constituent.		a container, envelope, room etc that contains something has something inside it	to include something, or to have it as a part
32	enter	To become involved in ; to be involved in.		to start to take part in a particular activity or to work in a particular job	to go or come into a place
33	change	To make something different.		to replace something with a new or different thing	to become different, or to make someone or something different
34	face	To deal with, to deal with.		to accept that a bad situation exists and try to deal with it	to be opposite someone or something so that your face or front is towards them
35	acknowledge	To give an official receipt of ( a document ).		to show that you have seen someone or that you recognize them, for example by smiling or speaking to them	to let someone know that you have received something they sent you
36	admit	to accept as true		to agree that something is true, especially when you are unhappy, sorry, or surprised about it	to allow someone to enter a place, especially a public place such as a theatre or museum
37	apply	To cause to be a result of a process.		to use a particular method, process, law etc	to put a layer of something such as paint onto a surface
38	operate	To perform a specified function.		if equipment operates, it works and does what it is intended to do	if someone operates in a particular way, that is how they achieve what they want to do
39	play	To gamble.		if children play or play something, they do things that they enjoy, for example using toys and taking part in games	if children play or play something, they do things that they enjoy, for example using toys and taking part in games
40	change	To alter, to alter, to alter.		to become different, or to make someone or something different	to replace something with a new or different thing
41	face	To be subject to ; to be subject to.		to accept that a bad situation exists and try to deal with it	to be opposite someone or something so that your face or front is towards them
42	bother	To be concerned or concerned ; to be concerned.		if you do not bother to do something, you do not do it, either because there seems to be no good reason or because it involves too much effort	if you do not bother to do something, you do not do it, either because there seems to be no good reason or because it involves too much effort
43	save	To keep or keep for future use.		to keep something for someone by making sure that other people do not take it	to collect a set of things and keep them for a particular purpose
44	ask	To request ; to request.		to speak or write to someone in order to get information from them	to say that you want something to happen, or that you want someone else to do something
45	apply	To put into effect.		to use a particular method, process, law etc	to put a layer of something such as paint onto a surface
46	change	to make a new name or form of		to become different, or to make someone or something different	to replace something with a new or different thing
47	bear	To accept ; to accept ; to accept.		if you cannot bear something, you cannot accept or do it because it makes you very unhappy	to carry or take someone or something somewhere
48	bear	To endure ; to endure ; to endure.		if you cannot bear something, you cannot accept or do it because it makes you very unhappy	to carry or take someone or something somewhere
49	reach	To go to a place or position that is beyond one's ability or capability.		to manage to touch something or pick it up by stretching out your hand, arm, leg etc	to arrive somewhere
50	ask	to make a formal inquiry or inquiry into		to speak or write to someone in order to get information from them	to speak or write to someone in order to get information from them
51	suggest	To make a suggestion ; to make a suggestion.		to say that something is likely to exist or to be true	to make you think that something is likely to exist or to be true
52	fail	To be unable to do something ; to be unable to do something ; to be unable to do something.		to be unsuccessful when you try to do something	to be unsuccessful in achieving a satisfactory level or standard
53	impose	To put into force ; to put into effect ; to put into effect.		to cause extra work for someone by asking them to do something that may not be convenient for them	to introduce something such as a new law or new system, and force people to accept it
54	open	To make public.		if a new business, building etc opens, or if someone opens it, it becomes available for people to use for the first time	to move a door or window into a position that allows people or things to pass through
55	lead	To be the head of ; to be the leader of.		to walk, drive, fly, sail etc in front of a group of people, vehicles, planes, ships etc	to be in control of an organization, group of people, or activity
56	suggest	To make a suggestion of ; to give a suggestion of.		to say that something is likely to exist or to be true	to remind you of something
57	manage	to be in control		to deal successfully with a problem or difficult situation	to be able to live with only a limited amount of money
58	answer	To respond to ; to respond to.		to give a spoken reply to a question	to give a spoken reply to a question
59	help	To make a difference ; to make a difference ; to make a difference.		to make a situation better	to give someone support or information so that they can do something more easily
60	manage	to have or consume		to succeed in eating or drinking something	to deal successfully with a person or animal whose behaviour is difficult
61	reach	To go to a certain height.		to manage to touch something or pick it up by stretching out your hand, arm, leg etc	to get as high as a particular level or amount
62	manage	To be able to do something successfully.		to be able to live with only a limited amount of money	to deal successfully with a problem or difficult situation
63	admit	To acknowledge, to acknowledge.		to agree that something is true, especially when you are unhappy, sorry, or surprised about it	to allow someone to enter a place, especially a public place such as a theatre or museum
64	manage	to be able to do something successfully		to deal successfully with a person or animal whose behaviour is difficult	to succeed in doing something, especially something that needs a lot of effort or skill
65	help	To be of use ; to be of use ; to be of use ; to be of use.		to give someone support or information so that they can do something more easily	to make a situation better
66	need	To be in a state of distress or distress ; to be in a state of distress ; to be in a state of distress ;		used for emphasizing that something should be done	if you need something, you must have it because it is necessary
67	admit	To grant membership to.		to allow someone to become a member of an organization	to allow someone to enter a place, especially a public place such as a theatre or museum
68	ask	To say in a voice, as if asking.		to speak or write to someone in order to get information from them	to speak or write to someone in order to get information from them
69	ask	To inquire about.		to speak or write to someone in order to get information from them	to speak or write to someone in order to get information from them
70	join	To become a member of.		if you join a road, train, boat etc, you start to travel on it	to become a member of an organization, club etc
71	lead	To cause to act ; to cause to act ; to cause to act.		to walk, drive, fly, sail etc in front of a group of people, vehicles, planes, ships etc	to cause someone to do something
72	share	To have in common ; to have in common.		to use or to have something at the same time as someone else	to use or to have something at the same time as someone else
73	face	To be facing ; to be facing.		to be opposite someone or something so that your face or front is towards them	if you face a problem, or if it faces you, it is likely or certain to happen and you have to deal with it
74	ask	to request something from someone		to speak or write to someone in order to get information from them	to speak or write to someone because you want them to give you something
75	ask	to inquire about		to speak or write to someone in order to get information from them	to speak or write to someone in order to get information from them
76	control	To make something more efficient or efficient.		to have the power to make decisions and decide what will happen to something	to make a machine, system, vehicle etc move or operate in the way that you want it to
77	try	To attempt.		to attempt to do something	to attempt to do something
78	control	To use ( a word ) to express a meaning.		to make a machine, system, vehicle etc move or operate in the way that you want it to	to make a machine, system, vehicle etc move or operate in the way that you want it to
79	open	To set up, as a business.		to move a door or window into a position that allows people or things to pass through	if a new business, building etc opens, or if someone opens it, it becomes available for people to use for the first time
80	operate	To be in effect ; to be in effect ; to be in effect.		if equipment operates, it works and does what it is intended to do	if something such as a rule, idea, or fact operates, it exists and has an effect in a particular situation
81	share	To be related or related ; to be a part of.		to use or to have something at the same time as someone else	to use or to have something at the same time as someone else
82	respond	To act in response to a threat or threat.		to react to something by taking a particular course of action	to reply, especially in writing
83	share	To have a shared interest or interest.		to use or to have something at the same time as someone else	to use or to have something at the same time as someone else
84	remind	To make ( someone ) aware of something.		to tell someone again about an event from the past or about a fact that they used to know	to tell someone again about an event from the past or about a fact that they used to know
85	change	to make a different or different decision or course of action		to replace something with a new or different thing	to become different, or to make someone or something different
86	open	To remove the horns from.		if a new business, building etc opens, or if someone opens it, it becomes available for people to use for the first time	to move a door or window into a position that allows people or things to pass through
87	introduce	To make known ; to make known ; to make known.		to tell someone another person’s name when they meet for the first time	to bring something into existence or use for the first time
88	address	To deal with, deal with, or deal with.		to try to deal with a problem or question, for example by thinking carefully about it, or by doing things to improve a situation	to speak directly to someone who is with you
89	introduce	To bring into a new environment.		to tell someone another person’s name when they meet for the first time	to bring something such as a plant or animal into a country or environment for the first time
90	feed	To give ( someone ) information about something.		to provide a supply of something for a person or a machine	to give food to a person or an animal
91	admit	To say something to express one's opinion ; to say something to express one's opinion.		to allow someone to enter a place, especially a public place such as a theatre or museum	to agree that something is true, especially when you are unhappy, sorry, or surprised about it
92	control	to have power over		to have the power to make decisions and decide what will happen to something	to make a machine, system, vehicle etc move or operate in the way that you want it to
93	share	To be in common ; to be in common ; to be in common.		to have the same opinion or feeling as someone else	to use or to have something at the same time as someone else
94	illustrate	To show or explain in a vivid manner.		to draw the pictures in a book, or to put pictures in a book	to show what something is like, or to show that something is true
95	answer	To be the correct or proper or proper or proper or proper or proper.		to give a spoken reply to a question	to give a spoken reply to a question
96	manage	To control or control.		to deal successfully with a person or animal whose behaviour is difficult	to organize and control the work of a company, organization, or group of people
97	hear	To take into consideration, to consider, to consider.		if a court case is heard, it is dealt with by a court or judge	to listen to someone who is speaking about a particular thing
98	address	To speak to, to give an oral or written speech to.		to speak publicly to a group of people	to speak publicly to a group of people
99	admit	to acknowledge or acknowledge		to agree that something is true, especially when you are unhappy, sorry, or surprised about it	to allow someone to enter a place, especially a public place such as a theatre or museum
100	face	To be confronted with.		to accept that a bad situation exists and try to deal with it	to be opposite someone or something so that your face or front is towards them
101	refer	To mention ; to mention.		to look at a book, map etc for information	to mention someone or something when you are speaking or writing
102	offer	To provide ( services ) to someone.		to let someone know that you will give them something if they want it	to provide something such as a product or service
103	offer	To make available ; to make available ; to make available.		to give someone something that you think they need or deserve	to let someone know that you will give them something if they want it
104	try	To attempt.		to attempt to do something	to attempt to do something
105	open	To set up ; to set up ; to set up ; to set up.		to move a door or window into a position that allows people or things to pass through	if a new business, building etc opens, or if someone opens it, it becomes available for people to use for the first time
106	manage	To be able to do something successfully.		to be able to live with only a limited amount of money	to deal successfully with a problem or difficult situation
107	suggest	To show or indicate ; to show ; to show.		to say that something is likely to exist or to be true	to make you think that something is likely to exist or to be true
108	lead	To direct or direct, as a person, towards a goal or a goal.		to walk, drive, fly, sail etc in front of a group of people, vehicles, planes, ships etc	to walk, drive, fly, sail etc in front of a group of people, vehicles, planes, ships etc
109	lead	To cause to act ; to cause to act ; to cause to act.		to cause someone to do something	to walk, drive, fly, sail etc in front of a group of people, vehicles, planes, ships etc
110	open	To make or become free from obstruction.		to move a door or window into a position that allows people or things to pass through	if a new business, building etc opens, or if someone opens it, it becomes available for people to use for the first time
111	win	To obtain, as approval or approval ; to obtain.		to get something as a prize for defeating other people or because you are lucky	to succeed in getting something that you want because of hard work or ability
112	bear	To accept, accept, or accept as true ; to accept as true ; to accept as true ; to accept as true.		to carry or take someone or something somewhere	if you cannot bear something, you cannot accept or do it because it makes you very unhappy
113	save	To make less difficult ; to make less difficult.		to make it possible for someone to avoid doing something	to make it possible for someone or something to avoid danger, harm, injury etc
114	contain	To hold, to hold, to hold.		a container, envelope, room etc that contains something has something inside it	a container, envelope, room etc that contains something has something inside it
115	open	To make something known.		if a new business, building etc opens, or if someone opens it, it becomes available for people to use for the first time	to move a door or window into a position that allows people or things to pass through
116	struggle	To work hard, to work hard.		to try hard to do something that you find very difficult	to use your strength to fight against someone or something
117	reach	To come to ; to come to ; to come to ; to come to.		to achieve something after discussing it or thinking about it for a long time	to manage to touch something or pick it up by stretching out your hand, arm, leg etc
118	contain	To include, as in a document.		a container, envelope, room etc that contains something has something inside it	to include something, or to have it as a part
119	evolve	To change, to change, to change.		when a type of plant or animal evolves, its physical form changes over a long period of time	to gradually change and develop over a period of time
120	reach	To go to a place, or to a place of interest.		to arrive somewhere	to manage to touch something or pick it up by stretching out your hand, arm, leg etc
121	save	To make less difficult ; to make less difficult.		to make it possible for someone to avoid doing something	to make it possible for someone or something to avoid danger, harm, injury etc
122	play	To be visible ; to be visible.		if something such as light plays somewhere, it moves quickly over a surface, appearing in different places for a very short time	if children play or play something, they do things that they enjoy, for example using toys and taking part in games
123	join	To become a member of.		to come together with other people or things	if you join a road, train, boat etc, you start to travel on it
124	feed	To supply with nourishment.		to make a feeling stronger	to give food to a person or an animal
125	join	To participate in ; to participate in.		to become involved in an activity	if you join a road, train, boat etc, you start to travel on it
126	face	To be in a state of conflict ; to be in a state of conflict ; to be in a state of conflict.		to be opposite someone or something so that your face or front is towards them	if you face a problem, or if it faces you, it is likely or certain to happen and you have to deal with it
127	join	To become a member of.		to become a member of an organization, club etc	if you join a road, train, boat etc, you start to travel on it
128	manage	To be able to do something successfully.		to succeed in doing something, especially something that needs a lot of effort or skill	to deal successfully with a person or animal whose behaviour is difficult
129	manage	To be able to do something successfully.		to succeed in doing something, especially something that needs a lot of effort or skill	to deal successfully with a person or animal whose behaviour is difficult
130	win	To achieve a victory.		to get something as a prize for defeating other people or because you are lucky	to get something as a prize for defeating other people or because you are lucky
131	suggest	To show or indicate by a particular action or process ; to show by a particular quality or condition.		to say that something is likely to exist or to be true	to make you think that something is likely to exist or to be true
132	operate	To be in a particular position or situation.		if equipment operates, it works and does what it is intended to do	if equipment operates, it works and does what it is intended to do
133	extend	To go beyond a specific limit, scope, or limit.		to continue for a particular distance or in a particular direction	to continue for a particular distance or in a particular direction
134	refer	To be a part of ; to be a part of ; to be connected with.		to mention someone or something when you are speaking or writing	to describe something, or to be about something
135	fail	To not do something ; to not do something.		to be unsuccessful in achieving a satisfactory level or standard	to not do something that people expect you to do
136	illustrate	To make visible, as by a photographic image.		to draw the pictures in a book, or to put pictures in a book	to show something by using pictures, diagrams, lists of numbers etc
137	introduce	To cause to become addicted.		to tell someone another person’s name when they meet for the first time	to tell someone another person’s name when they meet for the first time
138	extend	To go from one place to another.		to continue for a particular distance or in a particular direction	to continue for a particular distance or in a particular direction
139	apply	to be applied to		to use a particular method, process, law etc	to put a layer of something such as paint onto a surface
140	address	To deal with, to deal with.		to try to deal with a problem or question, for example by thinking carefully about it, or by doing things to improve a situation	to speak directly to someone who is with you
141	introduce	To make known to ; to give information about ; to give information about.		to tell someone another person’s name when they meet for the first time	to provide someone with a new experience, activity, or opportunity to learn something
142	reach	To be sufficient to meet ; to be sufficient to meet.		to manage to touch something or pick it up by stretching out your hand, arm, leg etc	to get as high as a particular level or amount
143	reach	To come to ; to come to ; to come to ; to come to.		to manage to touch something or pick it up by stretching out your hand, arm, leg etc	to achieve something after discussing it or thinking about it for a long time
144	explain	To make known to the public ; to make known to the public.		to tell someone something in a way that helps them understand it better	to tell someone something in a way that helps them understand it better
145	try	To attempt.		to attempt to do something	to attempt to do something
146	change	To make a different or different decision.		to replace something with a new or different thing	to become different, or to make someone or something different
147	change	to be different from another		to take off the clothes or a piece of clothing you are wearing and put on different ones	to become different, or to make someone or something different
148	admit	To acknowledge ; to acknowledge ; to acknowledge.		to agree that something is true, especially when you are unhappy, sorry, or surprised about it	to allow someone to enter a place, especially a public place such as a theatre or museum
149	impose	To put upon ; to put upon ; to put upon.		to cause extra work for someone by asking them to do something that may not be convenient for them	to cause extra work for someone by asking them to do something that may not be convenient for them
150	try	to attempt to do something		to attempt to do something	to attempt to do something
151	begin	To start ; to start.		to start doing something	to start doing something
152	try	To attempt.		to attempt to do something	to attempt to do something
153	refer	To be related ; to be related ; to be connected.		to mention someone or something when you are speaking or writing	to describe something, or to be about something
154	open	To become visible.		to move a door or window into a position that allows people or things to pass through	if a new business, building etc opens, or if someone opens it, it becomes available for people to use for the first time
155	save	To prevent ( a goal ) from being scored.		if a goalkeeper saves a ball in a sport such as football, they prevent the ball from going into the net	to make it possible for someone or something to avoid danger, harm, injury etc
156	admit	To grant entry to ; to permit to enter.		to allow someone to enter a place, especially a public place such as a theatre or museum	to take someone into hospital for medical treatment
157	manage	To act as the agent of, or in charge of, a tenant.		to organize and control an available supply of something such as time or money	to deal successfully with a person or animal whose behaviour is difficult
158	control	To hold or hold in a certain position.		to make people behave in the way that you want them to behave	to make people behave in the way that you want them to behave
159	explain	To give an explanation of.		to tell someone something in a way that helps them understand it better	to tell someone something in a way that helps them understand it better
160	join	To become a member of.		to become a member of an organization, club etc	if you join a road, train, boat etc, you start to travel on it
161	share	To divide by two.		to give a part of something to someone else	to give a part of something to someone else
162	help	To make amends for ; to make amends for.		to make a situation better	to give someone support or information so that they can do something more easily
163	reach	To come to a place, especially a place of great distance.		to manage to touch something or pick it up by stretching out your hand, arm, leg etc	to arrive somewhere
164	change	To cause to be different.		to replace something with a new or different thing	to become different, or to make someone or something different
165	suggest	To show or show ; to show ; to show.		to tell someone about something that may be useful or suitable for a particular purpose	to offer an idea or a plan for someone to consider
166	escape	To avoid, avoid, or avoid ( something ).		to get away from a place where you are in danger	to avoid thinking about or dealing with an unpleasant situation that you are in
167	save	To give away, as a gift.		to collect a set of things and keep them for a particular purpose	to keep something for someone by making sure that other people do not take it
168	join	To come together ; to come together.		if you join a road, train, boat etc, you start to travel on it	to come together with other people or things
169	manage	To be able to do or achieve something successfully.		to deal successfully with a person or animal whose behaviour is difficult	to succeed in doing something, especially something that needs a lot of effort or skill
170	refer	To be referring to.		to look at a book, map etc for information	to mention someone or something when you are speaking or writing
171	suggest	To indicate or indicate by a suggestion.		to make you think that something is likely to exist or to be true	to say that something is likely to exist or to be true
172	share	To talk about ; to talk about.		to use or to have something at the same time as someone else	to tell someone something
173	suggest	To make a suggestion ; to make a suggestion.		to say that something is likely to exist or to be true	to say that something is likely to exist or to be true
174	win	To gain ; to gain.		to succeed in getting something that you want because of hard work or ability	to get something as a prize for defeating other people or because you are lucky
175	extend	To make wider ; to expand.		to increase the size of a building or area, especially by adding extra parts onto it	to increase the size of a building or area, especially by adding extra parts onto it
176	refer	To mention or mention.		to mention someone or something when you are speaking or writing	to look at a book, map etc for information
177	address	To deal with, deal with, or deal with.		to speak directly to someone who is with you	to try to deal with a problem or question, for example by thinking carefully about it, or by doing things to improve a situation
178	help	To make something better ; to make something better.		to make a situation better	to give someone support or information so that they can do something more easily
179	change	To alter, alter, or alter.		to become different, or to make someone or something different	to take off the clothes or a piece of clothing you are wearing and put on different ones
180	evolve	To become more advanced.		to gradually change and develop over a period of time	when a type of plant or animal evolves, its physical form changes over a long period of time
181	expect	To believe that something will happen.		to think that something will happen	to be waiting for someone or something to arrive
182	save	To prevent from being affected or affected by something.		to make it possible for someone or something to avoid danger, harm, injury etc	to make it possible for someone or something to avoid danger, harm, injury etc
183	help	To make better ; to make better.		to make a situation better	to give someone support or information so that they can do something more easily
