,sentence,paraphrase_word
280,i did n't see *that* .,him
281,i did n't see *that* .,you
282,i did n't see *that* .,them
283,i have n't seen *it* .,him
284,i have n't seen *it* .,that
285,i have n't seen *him* .,it
286,i have n't seen *him* .,that
287,i have n't seen *that* .,it
288,i have n't seen *that* .,him
289,i *have* n't seen that .,had
290,i *had* n't seen that .,have
291,i did n't see *them* .,it
292,i did n't see *them* .,her
293,i did n't see *them* .,him
294,i did n't see *them* .,you
295,i did n't see *them* .,that
296,this is my *daughter* .,girlfriend
297,you *are* my friend .,'re
298,you are my *friend* .,girlfriend
299,*he* 's my friend .,she
300,he 's my *friend* .,partner
301,she 's my *daughter* .,friend
302,she 's my *daughter* .,partner
303,*she* 's my daughter .,that
304,*she* 's my friend .,he
305,she 's my *friend* .,daughter
306,she 's my *friend* .,partner
307,she *'s* my friend .,is
308,that 's my *girl* .,daughter
309,you *'re* my friend .,are
310,you 're my *friend* .,girlfriend
311,he 's my *partner* .,friend
312,*he* 's my partner .,she
313,she 's my *partner* .,daughter
314,she 's my *partner* .,friend
315,*she* 's my partner .,he
316,you 're my *girlfriend* .,friend
317,you *'re* my girlfriend .,are
318,she *is* my friend .,'s
319,this is my *girlfriend* .,daughter
320,you are my *girlfriend* .,friend
321,you *are* my girlfriend .,'re
322,*that* 's my daughter .,she
323,that 's my *daughter* .,girl
324,the view is *amazing* .,breathtaking
325,the *scenery* is breathtaking .,view
326,the view is *breathtaking* .,amazing
327,the *view* is breathtaking .,scenery
328,i ca n't speak french very *well* .,much
329,i ca n't speak very *much* french .,well
330,it was very *beautiful* .,cool
331,that was so *cool* .,amazing
332,it was pretty *neat* .,cool
333,that was so *amazing* .,cool
334,it was really *nice* .,cool
335,it was pretty *cool* .,neat
336,it was *pretty* cool .,really
337,it was *pretty* cool .,very
338,it was really *cool* .,nice
339,it was *really* cool .,pretty
340,it was *really* cool .,very
341,it was very *cool* .,beautiful
342,it was *very* cool .,pretty
343,it was *very* cool .,really
344,how long will you stay *here* ?,for
345,how long are you *staying* here ?,for
346,how long are you here *for* ?,staying
347,*for* how long will you stay ?,here
348,their car *overtook* ours .,passed
349,their car *passed* ours .,overtook
350,where *is* the entrance ?,'s
351,where *'s* the entrance ?,is
352,i *am* a vegetarian .,'m
353,i am *vegan* .,vegetarian
354,i *'m* a vegetarian .,am
355,i 'm a *vegetarian* .,vegan
356,i am *vegetarian* .,vegan
357,i *am* vegetarian .,'m
358,i *'m* vegetarian .,am
359,i 'm a *vegan* .,vegetarian
360,"*the* check , please .",waiter
361,"waiter , may i please have the *check* ?",bill
362,"waiter , the *bill* please .",check
363,"waiter , may i have the *bill* please ?",check
364,"waiter , the *check* please .",bill
365,"*waiter* , check please .",the
366,how *'s* your sister ?,is
367,how *is* your s*is*ter ?,'s
368,people *love* to talk .,like
369,people love to *talk* .,speak
370,people *like* to talk .,love
371,people love to *speak* .,talk
372,what *'s* that building ?,is
373,what *is* that building ?,'s
374,it is *very* hot today .,especially
375,it 's *balmy* today .,hot
376,it 's *balmy* today .,warm
377,it 's *awfully* hot today .,insanely
378,it 's *awfully* hot today .,really
379,it 's *awfully* hot today .,quite
380,it 's *awfully* hot today .,pretty
381,it 's *awfully* hot today .,quite
382,it is *rather* warm today .,pretty
383,it is *pretty* warm today .,rather
384,it is *especially* hot today .,very
385,it 's *insanely* hot today .,awfully
386,it 's *insanely* hot today .,really
387,it 's *insanely* hot today .,quite
388,it 's *insanely* hot today .,pretty
389,it 's *insanely* hot today .,quite
390,it 's *hot* today .,balmy
391,it 's *hot* today .,warm
392,it *'s* hot today .,is
393,it 's *fairly* warm today .,quite
394,it 's *fairly* warm today .,very
395,today is *extremely* hot .,it
396,it 's *warm* today .,balmy
397,it 's *warm* today .,hot
398,it *is* hot today .,'s
399,*it* is hot today .,extremely
400,it 's *really* hot today .,awfully
401,it 's *really* hot today .,insanely
402,it 's *really* hot today .,quite
403,it 's *really* hot today .,pretty
404,it 's *really* hot today .,quite
405,it 's *quite* warm today .,fairly
406,it 's *quite* warm today .,very
407,it 's quite *warm* today .,hot
408,it 's quite *warm* today .,hot
409,it 's *very* warm today .,fairly
410,it 's *very* warm today .,quite
411,today it 's *quite* hot .,awfully
412,today it 's *quite* hot .,insanely
413,today it 's *quite* hot .,really
414,today it 's quite *hot* .,warm
415,today it 's *quite* hot .,pretty
416,it 's *pretty* hot today .,awfully
417,it 's *pretty* hot today .,insanely
418,it 's *pretty* hot today .,really
419,it 's *pretty* hot today .,quite
420,it 's *pretty* hot today .,quite
421,it 's *quite* hot today .,awfully
422,it 's *quite* hot today .,insanely
423,it 's *quite* hot today .,really
424,it 's quite *hot* today .,warm
425,it 's *quite* hot today .,pretty
426,he *called* for help .,asked
427,he *called* for help .,shouted
428,he *called* for help .,yelled
429,he *asked* for help .,called
430,he *asked* for help .,shouted
431,he *asked* for help .,yelled
432,he *requested* help .,wanted
433,he *shouted* for help .,called
434,he *shouted* for help .,asked
435,he *shouted* for help .,yelled
436,he *yelled* for help .,called
437,he *yelled* for help .,asked
438,he *yelled* for help .,shouted
439,he *wanted* help .,requested
440,you *work* too hard .,try
441,you *'re* overworked .,are
442,you *are* overworked .,'re
443,you *are* a workaholic .,'re
444,you *'re* a workaholic .,are
445,you 're *working* too hard .,trying
446,you *try* too hard .,work
447,you 're *trying* too hard .,working
448,today i 'm paying for *your* lunch .,you
449,today i 'm paying *you* for lunch .,your
450,do n't smoke so *much* .,heavily
451,do n't smoke so *heavily* .,much
452,he opened the *door* .,doors
453,he opened the *door* .,gate
454,*she* pulled the door open .,he
455,*he* pulled open t*he* door .,she
456,open the *doors* .,gate
457,open *the* doors .,these
458,open the *gate* .,doors
459,open *these* doors .,the
460,he opened the *doors* .,door
461,he opened the *doors* .,gate
462,he opened the *gate* .,door
463,he opened the *gate* .,doors
464,it was *really* windy .,very
465,it was *really* windy .,quite
466,it was *very* windy .,really
467,it was *very* windy .,quite
468,it was *quite* windy .,really
469,it was *quite* windy .,very
470,you *are* pregnant .,'re
471,you *'re* pregnant .,are
472,can you guess *her* age ?,his
473,can you guess *his* age ?,her
474,"bill , *answer* the door .",open
475,"bill , *open* the door .",answer
476,my friends invited me *to* dinner .,for
477,my friends invited me *for* dinner .,to
478,w*he*re has *he* learned italian ?,she
479,where has *she* learned italian ?,he
480,a promise is *not* enough .,n't
481,a promise is *n't* enough .,not
482,let me *go* with you .,come
483,let me *come* with you .,go
484,she reads *the* newspaper every morning .,a
487,every morning she reads *the* newspaper .,a
488,we get *on* very well .,along
489,we get *along* very well .,on
490,i am anxious about *your* health .,his
491,i am anxious about *his* health .,your
492,i am *anxious* about his health .,concerned
493,i am *concerned* about his health .,anxious
494,i 'm very *concerned* about your health .,worried
495,i 'm very *worried* about your health .,concerned
496,*he* likes oranges .,she
497,*she* likes oranges .,he
498,tom is *living* in boston .,staying
499,tom *lives* in boston .,remains
500,tom is *staying* in boston .,living
501,tom *remains* in boston .,lives
502,i will do *the* homework .,my
503,i will do *my* homework .,the
504,i 'm *just* looking .,simply
505,i 'm *just* looking .,around
506,i 'm *simply* looking .,just
507,i 'm *simply* looking .,around
508,i 'm looking *around* .,just
509,i 'm looking *around* .,simply
510,*he* has wine .,she
511,*she* has wine .,he
512,can *you* drive ?,he
513,*can* you drive ?,do
514,can *he* drive ?,you
515,*do* you drive ?,can
516,i work *for* a hospital .,in
517,i work *in* a hospital .,for
518,he *is* still young .,'s
519,you *'re* young .,were
520,*you* 're *you*ng .,they
521,he *'s* still young .,is
522,*he* 's still young .,she
523,*she* 's still young .,he
524,*he* is young .,she
525,*he* is young .,it
526,he *is* young .,was
527,*she* is young .,he
528,*she* is young .,it
529,she *is* young .,was
530,*it* is young .,he
531,*it* is young .,she
532,*they* were young .,you
533,they *were* young .,'re
534,you *were* young .,'re
535,*you* were *you*ng .,they
536,he *was* young .,is
537,*he* was young .,she
538,she *was* young .,is
539,*she* was young .,he
540,*they* 're young .,you
541,they *'re* young .,were
542,no one *came* .,arrived
543,no one *arrived* .,came
544,no one *will* come .,has
545,no one *has* come .,will
546,he *'s* kicking me !,is
547,he *is* kicking me !,'s
548,have you *got* a mobile phone ?,do
549,*do* you have a mobile phone ?,got
550,i did *n't* play tennis yesterday .,not
551,yesterday i did *not* play tennis .,n't
552,how do you *like* your coffee ?,take
553,how do you *take* your coffee ?,like
554,this is *not* my car .,n't
555,this is not *my* car .,mine
556,this is *n't* my car .,not
557,this car is not *mine* .,my
558,i *am* your father .,'m
559,i *'m* your father .,am
560,i 'm your *father* .,dad
561,i 'm your *dad* .,father
562,you are very *brave* .,courageous
563,you *are* very brave .,'re
564,you are very *courageous* .,brave
565,you *are* very courageous .,'re
566,you 're so *gallant* .,brave
567,you *'re* very brave .,are
568,you 're very *brave* .,courageous
569,you 're *very* brave .,so
570,you 're *very* brave .,really
571,you are so *brave* !,courageous
572,you are so *courageous* !,brave
573,you *'re* very courageous .,are
574,you 're very *courageous* .,brave
575,you 're so *brave* .,gallant
576,you 're *so* brave .,very
577,you 're *so* brave .,really
578,you 're *really* brave .,very
579,you 're *really* brave .,so
580,"in my opinion , you *are* wrong .",'re
581,"in my opinion , you *'re* wrong .",are
582,i think you 're *wrong* .,mistaken
583,i think you *are* mistaken .,'re
584,i think you 're *mistaken* .,wrong
585,i think you *'re* mistaken .,are
586,i *think* you 're mistaken .,believe
587,i *believe* you 're mistaken .,think
588,you should *have* attended the meeting .,'ve
589,you should *'ve* attended the meeting .,have
590,he could *not* believe his eyes .,n't
591,he could *n't* believe his eyes .,not
592,where is *father* ?,dad
593,where *is* your father ?,'s
594,where is *your* father ?,my
595,where is my *dad* ?,father
596,where 's my *daddy* ?,father
597,where 's my *father* ?,daddy
598,where 's *my* father ?,your
599,where *'s* my father ?,is
600,where 's your *dad* ?,father
601,where *'s* your father ?,is
602,where 's *your* father ?,my
603,where 's your *father* ?,dad
604,where is *my* father ?,your
605,where is my *father* ?,dad
606,where *is* my father ?,'s
607,where is *dad* ?,father
608,*she* just left .,he
609,*he* just left .,she
610,that 's a *tough* one .,tricky
611,that 's a *tricky* one .,tough
612,we are his *sons* .,children
613,we are *his* sons .,her
614,we are his *children* .,sons
615,we are *her* sons .,his
616,i 'll never forget *meeting* you .,ever
617,i 'll n*ever* *ever* forget you .,meeting
618,tom did n't do *it* .,that
619,tom did n't do *it* .,this
620,tom did n't do *that* .,it
621,tom did n't do *that* .,this
622,tom did n't do *this* .,it
623,tom did n't do *this* .,that
624,it 's *snowy* today .,snowing
625,it 's *snowy* today .,snowing
626,it 's *snowing* today .,snowy
627,it *'s* snowing today .,is
628,it *'s* snowing today .,is
629,today it *is* snowing .,'s
630,today it *is* snowing .,'s
631,today it 's *snowing* .,snowy
632,today it *'s* snowing .,is
633,today it *'s* snowing .,is
634,it *is* snowing today .,'s
635,it *is* snowing today .,'s
636,he loves *her* .,them
637,he *loves* her .,admired
638,he loves *her* .,you
639,he loves *her* .,him
640,*he* loves *he*r .,she
641,he *loves* her .,likes
642,he loves *them* .,her
643,he loves *them* .,you
644,he loves *them* .,him
645,she *admired* him .,adores
646,she *admired* him .,idolized
647,she *admired* him .,likes
648,she *admired* him .,loves
649,she *admired* him .,wants
650,she *admired* him .,worships
651,she *adores* him .,admired
652,she *adores* him .,idolized
653,she *adores* him .,likes
654,she *adores* him .,loves
655,she *adores* him .,wants
656,she *adores* him .,worships
657,*she* adores him .,he
658,she adores *him* .,it
659,she *idolized* him .,admired
660,she *idolized* him .,adores
661,she *idolized* him .,likes
662,she *idolized* him .,loves
663,she *idolized* him .,wants
664,she *idolized* him .,worships
665,she *likes* him .,admired
666,she *likes* him .,adores
667,she *likes* him .,idolized
668,she *likes* him .,loves
669,she *likes* him .,wants
670,she *likes* him .,worships
671,she likes *him* .,her
672,she likes *him* .,them
673,she *loves* him .,admired
674,she *loves* him .,adores
675,she *loves* him .,idolized
676,she *loves* him .,likes
677,she *loves* him .,wants
678,she *loves* him .,worships
679,*she* loves him .,he
680,she loves *him* .,her
681,she loves *him* .,you
682,she *wants* him .,admired
683,she *wants* him .,adores
684,she *wants* him .,idolized
685,she *wants* him .,likes
686,she *wants* him .,loves
687,she *wants* him .,worships
688,she wants *him* .,that
689,she wants *him* .,it
690,she wants *him* .,you
691,she *worships* him .,admired
692,she *worships* him .,adores
693,she *worships* him .,idolized
694,she *worships* him .,likes
695,she *worships* him .,loves
696,she *worships* him .,wants
697,*she* worships him .,he
698,she worships *him* .,it
699,he *admired* her .,loves
700,he *admired* her .,likes
701,she liked *it* .,that
702,she *liked* it .,adores
703,she *liked* it .,worships
704,she *liked* it .,wants
705,she liked *that* .,it
706,*she* liked that .,he
707,she *liked* that .,wants
708,*he* liked that .,she
709,he *liked* that .,wants
710,*he* likes you !,she
711,*she* likes you !,he
712,he loves *you* .,her
713,he loves *you* .,them
714,he loves *you* .,him
715,he *loves* you .,wants
716,*he* loves you .,she
717,he loves *him* .,her
718,he loves *him* .,them
719,*he* loves him .,she
720,he loves *him* .,you
721,he *loves* him .,adores
722,he *loves* him .,worships
723,*she* loves her .,he
724,she loves *her* .,him
725,she *loves* her .,likes
726,she loves *her* .,you
727,*he* adores him .,she
728,he *adores* him .,loves
729,he *adores* him .,worships
730,he adores *him* .,it
731,*he* worships him .,she
732,he *worships* him .,loves
733,he *worships* him .,adores
734,he worships *him* .,it
735,he adores *it* .,him
736,*he* adores it .,she
737,he *adores* it .,worships
738,he *adores* it .,wants
739,she adores *it* .,him
740,she *adores* it .,liked
741,*she* adores it .,he
742,she *adores* it .,worships
743,she *adores* it .,wants
744,he worships *it* .,him
745,he *worships* it .,adores
746,*he* worships it .,she
747,he *worships* it .,wants
748,she worships *it* .,him
749,she *worships* it .,liked
750,she *worships* it .,adores
751,*she* worships it .,he
752,she *worships* it .,wants
753,he *wants* that .,liked
754,*he* wants that .,she
755,he wants *that* .,it
756,he wants *that* .,you
757,she wants *that* .,him
758,she *wants* that .,liked
759,*she* wants that .,he
760,she wants *that* .,it
761,she wants *that* .,you
762,he *likes* her .,loves
763,he *likes* her .,admired
764,*he* likes *he*r .,she
765,he likes *her* .,this
766,she likes *her* .,him
767,she *likes* her .,loves
768,*she* likes her .,he
769,she likes *her* .,them
770,he *wants* it .,adores
771,he *wants* it .,worships
772,he wants *it* .,that
773,*he* wants it .,she
774,he wants *it* .,you
775,she wants *it* .,him
776,she *wants* it .,liked
777,she *wants* it .,adores
778,she *wants* it .,worships
779,she wants *it* .,that
780,*she* wants it .,he
781,she wants *it* .,you
782,he *wants* you .,loves
783,he wants *you* .,that
784,he wants *you* .,it
785,*he* wants you .,she
786,she wants *you* .,him
787,she wants *you* .,that
788,she wants *you* .,it
789,*she* wants you .,he
790,she *wants* you .,loves
791,he likes *this* .,her
792,she loves *you* .,him
793,*she* loves you .,he
794,she loves *you* .,her
795,she *loves* you .,wants
796,she likes *them* .,him
797,she likes *them* .,her
798,who said *that* ?,it
799,who did you learn *it* from ?,that
800,from *whom* did you learn that ?,who
801,who taught you *that* ?,this
802,who said *it* ?,that
803,who taught you *this* ?,that
804,who did you learn *that* from ?,it
805,*who* did you learn that from ?,whom
806,please *show* your ticket .,","
807,let me *check* your ticket .,see
808,"your ticket *,* please .",show
809,let me *see* your ticket .,check
810,"*kids* , listen !",children
811,"*children* , listen !",kids
812,i 'll kill *him* .,you
813,i 'll kill *him* .,it
814,i 'll kill *you* .,him
815,i *'ll* kill you .,will
816,i 'll kill *you* .,it
817,i *will* kill you .,'ll
818,i 'll kill *it* .,him
819,i 'll kill *it* .,you
820,time *flies* .,flew
821,time *passes* by quickly .,goes
822,time *goes* by quickly .,passes
823,time is running *out* .,short
824,time *is* running out .,'s
825,time *flew* .,flies
826,time is *getting* short .,running
827,time is running *short* .,out
828,time is *running* short .,getting
829,time *'s* running out .,is
830,i lost him *among* the crowd .,in
831,i lost him *in* the crowd .,among
832,i should clean *the* room .,my
833,i should clean *my* room .,the
834,he found his *parents* .,mothers
835,he found his *mothers* .,parents
836,*do* you have any pencils ?,got
837,do you have *any* pencils ?,some
838,have you *got* any pencils ?,do
839,do you have *some* pencils ?,any
840,th*is* girl *is* from japan .,comes
841,this girl *comes* from japan .,is
842,when was this *temple* built ?,church
843,when was this *church* built ?,temple
844,please help yourself to *the* cake .,some
845,please help yourself to *some* cake .,the
846,please have some *pie* .,cake
847,please *eat* some cake .,have
848,please have some *cake* .,pie
849,please *have* some cake .,eat
850,it *is* raining .,was
851,it *is* raining .,'s
852,it *is* raining .,started
853,it 's raining *buckets* outside .,hard
854,down came the rain in *torrents* .,rods
855,it *was* raining .,is
856,it *was* raining .,'s
857,it *was* raining .,started
858,it *is* raining heavily .,started
859,it is raining *heavily* .,today
860,it *is* raining heavily .,'s
861,it began *snowing* just now .,raining
862,it began *raining* just now .,snowing
863,it 's *rainy* today .,raining
864,it 's raining hard *tonight* .,very
865,it 's raining hard *tonight* .,been
866,it 's raining hard *tonight* .,outside
867,it began to *snow* .,rain
868,it rained yesterday *evening* .,afternoon
869,it *'s* raining .,is
870,it *'s* raining .,was
871,it *'s* raining .,started
872,it 's *raining* .,lashing
873,it 's raining *outside* .,hard
874,it 's *raining* outside .,snowing
875,it 's raining *outside* .,started
876,it 's raining *outside* .,today
877,it 's raining *outside* .,heavily
878,it began to *rain* .,snow
879,it *started* raining heavily .,is
880,it started raining *heavily* .,has
881,it started raining *heavily* .,'s
882,it *started* raining heavily .,'s
883,it 's raining *hard* .,outside
884,it 's raining *hard* .,started
885,it 's raining *hard* .,today
886,it 's raining *hard* .,heavily
887,it *'s* raining hard .,began
888,it *rained* .,rains
889,it *rained* .,floats
890,it 's just started *snowing* .,raining
891,it 's *pissing* with rain .,pouring
892,it 's *bucketing* down .,pouring
893,it 's *bucketing* down .,pissing
894,the rain came down in *rods* .,torrents
895,it 's raining *very* hard .,tonight
896,it 's raining *very* hard .,been
897,it 's raining *very* hard .,outside
898,it 's *pouring* down .,bucketing
899,it 's *pouring* down .,pissing
900,it rained yesterday *afternoon* .,evening
901,it 's pouring *down* rain .,with
902,it 's *been* raining hard .,tonight
903,it 's *been* raining hard .,very
904,it 's *been* raining hard .,outside
905,it 's raining *hard* outside .,buckets
906,it 's raining hard *outside* .,tonight
907,it 's raining hard *outside* .,very
908,it 's raining hard *outside* .,been
909,it 's *starting* to rain .,beginning
910,it 's *starting* to rain .,begun
911,it 's *snowing* outside .,raining
912,it 's snowing *outside* .,started
913,it *started* raining .,is
914,it *started* raining .,was
915,it *started* raining .,'s
916,it 's *pouring* with rain .,pissing
917,it 's pouring *with* rain .,down
918,it *has* started raining .,heavily
919,it *has* started raining .,'s
920,it 's *started* raining .,outside
921,it *'s* started raining .,heavily
922,it 's *started* raining .,hard
923,it *'s* started raining .,has
924,it 's *started* raining .,today
925,it 's *started* raining .,heavily
926,it 's started *raining* .,snowing
927,it 's *raining* today .,rainy
928,it 's raining *today* .,outside
929,it 's raining *today* .,hard
930,it 's raining *today* .,started
931,it *'s* raining today .,is
932,it 's raining *today* .,heavily
933,it *rains* .,rained
934,it *rains* .,floats
935,it is raining *today* .,heavily
936,it *is* raining today .,'s
937,it 's *lashing* .,raining
938,it 's just started *raining* .,snowing
